Latitude,Longitude,Nama_Unit,Kode_Unit,Alamat,Dokter_Spesialis,Dokter_Umum,Dokter_Gigi,Perawat,Bidan,Farmasi,Nakes_Lainnya,Tenaga_Pendukung,Provinsi
-8.060617,111.907616,RSUD Dr Iskak Tulungagung,R3504012,"Jl. Dr. Wahidin Sudiro Husodo, Tulungagung",27,13,5,379,34,49,73,279,JAWA TIMUR
-8.052603,111.883118,RSU Islam Orpeha,R3504045,Jl. KHR Abdul Fatah Batangsaren - Kauman Tulungagung,8,4,1,0,0,0,0,0,JAWA TIMUR
?,?,RSU Era Medika,R3504056,Jl. Raya Pulosari No. 15 Ngunut,12,7,1,18,7,5,9,30,JAWA TIMUR
?,?,RSIA Fauziah,R3504057,Jalan Dr. SUTOMO 47 TERTEK TULUNGAGUNG,5,5,0,18,12,1,4,56,JAWA TIMUR
?,?,RSIA Citra Sehat,R3504067,Perumahan Sobontoro Indah Tulungagung,0,0,0,0,0,0,0,0,JAWA TIMUR
?,?,RSU Bhayangkara Tulungagung,R3504068,"Jl. I Gusti Ngurah Rai 25 - 27, Tulungagung",15,7,2,86,11,9,16,85,JAWA TIMUR
-7.602122,112.089653,RSU Satiti Prima Husada,R3504069,"Ds. Balesono, Kec. Ngunut",7,4,1,10,9,4,5,2,JAWA TIMUR
?,?,RS Islam Madinah,R3504070,"Jl. Jatiwayang Lk2 Ngunut, Tulungagung",6,10,1,24,7,3,7,26,JAWA TIMUR
?,?,RSU Muhammadiyah Bandung Tulungagung,R3504071S,"Jl. Panglima Sudirman no. 42, Ds. Mergayu, Kec. Bandung, kab. Tulungagung",3,5,1,21,1,6,8,32,JAWA TIMUR
?,?,RSU Putra Waspada Tulungagung,R3504073S,"Jl. Jayeng Kusumo RT.002, RW.006, Kelurahan Ngujang, Kecamatan Kedungwaru,",16,5,1,20,5,5,10,36,JAWA TIMUR
-8.0838,112.315567,RSUD Ngudi Waluyo Wlingi,R3505013,Jl. Dr. Sucipto No.5 Wlingi,16,12,2,173,12,16,66,136,JAWA TIMUR
?,?,RSU Aulia,R3505024,Jl.Raya Utara No 3,11,5,1,36,10,5,12,6,JAWA TIMUR
?,?,RSU Andanda,R3505035,jl. mastrip no. 14 srengat,6,10,1,29,6,4,6,17,JAWA TIMUR
?,?,RSIA Kirana Husada,R3505036S,Jl. Panglima Sudirman 55 Beru Wlingi Blitar,2,2,0,5,6,1,4,7,JAWA TIMUR
?,?,RSU Cendana,R3505037S,"Jl. Kusuma Bangsa No.01, Kanigoro",7,4,0,10,7,1,5,1,JAWA TIMUR
-8.090083,112.288261,RSU An-Nisaa,R3505054,"Jl. Suparyono Timur No.1, Bajang Talun-Blitar",10,5,1,25,9,4,11,24,JAWA TIMUR
?,?,RS Islam Haji Mardjoeki,R3505066S,Jl. Raya Pikatan RT.02 RW.III-15 Wonodadi,0,5,0,8,1,1,4,7,JAWA TIMUR
-7.759758,112.17598,RSUD Kabupaten Kediri,R3506014,"Jl. Pahlawan Kusuma Bangsa No.1, Pare",28,21,4,226,24,26,62,156,JAWA TIMUR
-7.765064,112.196869,RSU PTP XXI Toeloengredjo,R3506025,Jl. A Yani No. 25 Pare Kediri,30,8,4,101,10,10,27,89,JAWA TIMUR
-7.761606,112.180458,RS Amelia,R3506036,Jl. Pahlawan No.25A Pare - Kediri,17,9,1,74,9,10,22,58,JAWA TIMUR
?,?,RSU Muhammdiyah Surya Melati,R3506047,"Jl. Raya Ngadiluwih - Wates km. 10, Ds. Ngletih, Kec. Kandat",4,4,1,13,6,2,7,19,JAWA TIMUR
?,?,RSK Bedah Arga Husada,R3506058,Ds. Branggahan Kec. Ngadiluwih,2,3,1,13,4,1,6,10,JAWA TIMUR
?,?,RSU Muhammadiyah Siti Khodijah Gurah,R3506059,JL. DR. SOETOMO 322 SUKOREJO KEC. GURAH KAB. KEDIRI,5,6,1,19,5,7,6,33,JAWA TIMUR
?,?,RSAB Kasih Bunda,R3506060S,"Jl. Jaya Wijaya No.1, Pare Kediri",8,3,0,12,15,4,8,0,JAWA TIMUR
?,?,RSIA Nuraini,R3506061,Jl. Yos Sudarso 84 Pare Kediri,4,2,0,28,20,3,4,37,JAWA TIMUR
?,?,RSU Aura Syifa,R3506062,Jl. Joyoboyo 42 Dlopo Kec. Ngasem,14,4,3,33,17,5,4,49,JAWA TIMUR
-8.163433,112.693947,RSU Bala Keselamatan,R3507015,"Jl. A.Yani 91 Turen , Kab.Malang",7,4,2,32,6,1,38,68,JAWA TIMUR
-7.839828,112.676147,RS Jiwa Dr. Radjiman Wediodiningrat,R3507026,Jl. Jend. A.Yani Lawang Kab. Malang,17,20,2,0,1,4,0,0,JAWA TIMUR
-8.140542,112.570847,RSUD Kanjuruhan Kepanjen,R3507052,"Jl. Panji No. 100 Kepanjen, Malang",22,18,5,148,39,33,88,270,JAWA TIMUR
-7.905725,112.65551,RSU Marsudi Waluyo,R3507070,Jl. Raya Mondoroko Km. 9 Singosari Malang,15,7,1,16,5,6,0,0,JAWA TIMUR
-7.839828,112.676147,RSUD Lawang,R3507085,"Jl. RA Kartini 5, Lawang Kab. Malang",6,8,1,43,12,5,8,18,JAWA TIMUR
?,?,RSU Wava Husada,R3507096,"Jl. Panglima Sudirman No. 99A, Dilem, Kepanjen",4,13,0,126,12,10,63,172,JAWA TIMUR
?,?,RSU Mitra Delima,R3507098,Jl. Raya Bulupayung No. 1B Krebet - Bululawang - Malang,8,6,1,15,11,1,0,18,JAWA TIMUR
?,?,RSU Prasetya Husada,R3507099,"Jl. Raya Ngijo No.25 Karangploso, Malang",9,6,1,32,14,6,7,17,JAWA TIMUR
